,ni_ppm,cu_ppm,co_ppm,pd_ppm,au_ppm,pt_ppm,rh_ppm,fe_ppm,s_ppm,ag_ppm,latitude,longitude
ni_ppm,1.0,0.19202767164744364,0.8548766798430515,-0.05037169739407325,-0.013493339037865273,-0.03566208311761418,,0.811370288580894,-0.06521811765279348,0.31575719358343896,-0.0897102905109029,-0.026506913607583702
cu_ppm,0.19202767164744364,1.0,0.24322134974674,0.004674773537311022,-0.007160534458909704,-0.007313458256387669,,0.27930257298786176,0.03273997986183583,0.19011640096840554,0.12508413172349686,-0.09163700574109958
co_ppm,0.8548766798430515,0.24322134974674,1.0,-0.05988673026962387,-0.016925400525960733,-0.043392644275857734,,0.895821393742864,-0.08218336730394495,0.2665956630427556,-0.07640772841560446,-0.05254580801087455
pd_ppm,-0.05037169739407325,0.004674773537311022,-0.05988673026962387,1.0,0.026865254868643267,0.680352668420341,,-0.05329572586124521,0.4573390064132641,-0.03712543521192972,0.11861024489301275,-0.028855410662142384
au_ppm,-0.013493339037865273,-0.007160534458909704,-0.016925400525960733,0.026865254868643267,1.0,0.00940219191473608,,-0.011821054796079438,0.03895973310751984,-0.017620436101671123,-0.031708003999815104,0.003116920130542832
pt_ppm,-0.03566208311761418,-0.007313458256387669,-0.043392644275857734,0.680352668420341,0.00940219191473608,1.0,,-0.037005572820831785,0.26196373938031553,0.0003967956925265986,0.08809674091525503,0.074255028104383
rh_ppm,,,,,,,,,,,,
fe_ppm,0.811370288580894,0.27930257298786176,0.895821393742864,-0.05329572586124521,-0.011821054796079438,-0.037005572820831785,,1.0,-0.06604128806186955,0.34061913916035136,-0.05301453281932114,-0.028902342084481857
s_ppm,-0.06521811765279348,0.03273997986183583,-0.08218336730394495,0.4573390064132641,0.03895973310751984,0.26196373938031553,,-0.06604128806186955,1.0,-0.09866713961320513,-0.051420105971202876,-0.04326116610727429
ag_ppm,0.31575719358343896,0.19011640096840554,0.2665956630427556,-0.03712543521192972,-0.017620436101671123,0.0003967956925265986,,0.34061913916035136,-0.09866713961320513,1.0,0.3890082840668099,0.4232001193420845
latitude,-0.0897102905109029,0.12508413172349686,-0.07640772841560446,0.11861024489301275,-0.031708003999815104,0.08809674091525503,,-0.05301453281932114,-0.051420105971202876,0.3890082840668099,1.0,0.14262334141379257
longitude,-0.026506913607583702,-0.09163700574109958,-0.05254580801087455,-0.028855410662142384,0.003116920130542832,0.074255028104383,,-0.028902342084481857,-0.04326116610727429,0.4232001193420845,0.14262334141379257,1.0
