,Zn_PPM,Ag_PPM,Cu_PPM,Pb_PPM,Au_PPM,Co_PPM,In_PPM,Ge_PPM,wamex_lat,wamex_lon
Zn_PPM,1.0,0.1089223939019051,-0.006178838595003949,0.7077043613028362,0.09141859520699931,0.44365771382390107,0.000793922956023796,0.16890416177629702,0.28432259073212685,-0.2975909446298727
Ag_PPM,0.1089223939019051,1.0,0.8614821866969217,0.15820427641331167,0.13581089129661103,0.1689518928911342,0.249755364059179,0.26344301462319153,0.3941813260615636,-0.4518131524997886
Cu_PPM,-0.006178838595003949,0.8614821866969217,1.0,-0.005846608289739917,0.17168169933285027,0.06974612575741704,0.17446584388066352,0.3635622999040099,0.511479697323476,-0.5373788333137713
Pb_PPM,0.7077043613028362,0.15820427641331167,-0.005846608289739917,1.0,0.04732929535335919,0.6290798609697769,-0.0059041065484313855,0.10024612249282036,0.19951369651922668,-0.20891368838218904
Au_PPM,0.09141859520699931,0.13581089129661103,0.17168169933285027,0.04732929535335919,1.0,0.030757558205497765,0.012087853991127488,0.16471319149111674,0.0711201050930444,-0.10162957004609126
Co_PPM,0.44365771382390107,0.1689518928911342,0.06974612575741704,0.6290798609697769,0.030757558205497765,1.0,-0.061027196062288555,0.058693845834269474,0.18790865680173227,-0.18521504905767727
In_PPM,0.000793922956023796,0.249755364059179,0.17446584388066352,-0.0059041065484313855,0.012087853991127488,-0.061027196062288555,1.0,0.12880991467961733,0.049026232468738745,-0.06888278683223444
Ge_PPM,0.16890416177629702,0.26344301462319153,0.3635622999040099,0.10024612249282036,0.16471319149111674,0.058693845834269474,0.12880991467961733,1.0,0.44431665929703534,-0.5754717076092845
wamex_lat,0.28432259073212685,0.3941813260615636,0.511479697323476,0.19951369651922668,0.0711201050930444,0.18790865680173227,0.049026232468738745,0.44431665929703534,1.0,-0.9443220456952619
wamex_lon,-0.2975909446298727,-0.4518131524997886,-0.5373788333137713,-0.20891368838218904,-0.10162957004609126,-0.18521504905767727,-0.06888278683223444,-0.5754717076092845,-0.9443220456952619,1.0
