,commodity_set,Co_pred_lr,Co_pred_rf,Co_true,lr_train_mse,lr_test_mse,rf_train_mse,rf_test_mse
0,Ag-Au-Cu-Ni-Pd-Pt,697.9887684809509,174.77729790509332,410.0,0.4286188051942617,0.4306990764048189,0.0337786493727408,0.2640621347768176
2,Cu-Fe-Ni,314.74774748116306,340.30530483376225,500.0,0.9077612769954968,0.9313562547483628,0.0499002400473301,0.3494760425059598
7,Cu-Fe-Ni-S,266.96006985751177,222.5376218354805,500.0,0.9225054893062876,1.009839719909693,0.0491729360359154,0.4141673298666647
11,Cu-Ni,671.090122608788,789.8268252606912,1000.0,0.951613437137066,0.8669279163928341,0.0544270661479434,0.3753559088751291
41,Cu-Ni-Pd,494.1599987607335,280.0698159854805,800.0,0.6138683276880906,0.6104890937360369,0.0446456431742836,0.2837361127834484
42,Cu-Ni-Pd-Pt,577.6282947343656,255.93526887889269,820.0,0.5972084533150566,0.5389297684186543,0.0422804098515555,0.2843737188867515
43,Cu-Ni-S,528.7598096229465,356.792689523968,994.0,1.0347944753165073,0.9156171749472956,0.0565186707680298,0.3996563790830315
47,Fe-Ni,407.73027093067856,456.96183279997126,1800.0,0.9402938035130708,0.9975911616293616,0.0508038511686791,0.3905005335313441
125,Ni,340.8514918056848,159.19403479599396,1700.0,1.00201443976367,0.9829392819286612,0.0565546590490829,0.4000853466256408
647,Ni-Pd-Pt,450.1166780644413,264.21164031230785,2900.0,0.5993240162246153,0.5749484736787979,0.045400190009138,0.3083396587584178
